,Opponent,Color,Accuracy,AvgLoss,Blunders,Mistakes,Inaccuracies,TotalMoves,Normalized AvgLoss
618,masih695,Black,83.7,100.7,8,7,9,53,10.03493896344168
619,loganathan3875,Black,80.5,100.1,7,7,8,49,10.00499875062461
620,laitonrook,White,77.8,99.0,1,7,7,26,9.9498743710662
621,ehv_mc2,White,80.0,70.1,0,5,3,17,8.372574275573792
622,M-xzx,Black,81.4,85.8,7,9,6,64,9.262828941527529
623,eyesofhorus,Black,85.4,111.9,4,11,7,40,10.578279633286312
624,Badrul670,White,86.9,121.7,3,6,3,29,11.031772296417289
625,AliRReZa,Black,88.6,78.2,2,4,2,33,8.843076387773658
626,Alex_F2021,White,81.6,81.8,1,3,2,18,9.044335243676011
627,prostacyclin,Black,86.0,38.8,0,1,4,20,6.2289646009589745
628,rook082677,Black,87.0,34.1,0,5,6,43,5.8395205282625735
629,rook082677,White,91.9,63.8,2,2,2,22,7.987490219086343
630,rook082677,Black,84.0,68.8,3,3,7,30,8.294576541331088
631,Danny_Suhr,White,81.1,69.8,1,10,8,43,8.35463942968217
632,sukHwan,White,89.1,51.8,0,7,7,37,7.197221686178632
633,Mjiwina,Black,81.3,77.3,4,1,5,31,8.792041856133306
634,Andile_Ntshinga,White,85.1,75.7,4,7,6,59,8.700574693662483
635,jabshri,White,83.9,52.0,1,3,11,42,7.211102550927978
636,Cheggsmate,Black,81.5,95.8,4,4,6,31,9.787747442593725
637,Ibanchess962,White,93.2,25.6,0,1,2,17,5.059644256269407
638,summuns,White,81.0,77.6,3,7,3,37,8.809086218218097
639,drag0nb0rn5,Black,82.1,79.8,3,3,5,26,8.933084573650918
640,media7d,White,81.6,171.2,2,1,2,16,13.0843417870369
641,media7d,Black,85.4,69.3,4,4,3,32,8.324662155306964
642,MSRP,White,87.1,48.6,0,5,0,19,6.971370023173351
643,Ferpiana2,Black,77.7,70.8,3,4,2,23,8.414273587185052
644,Anatoliy_Semench1960,Black,88.5,48.3,2,6,5,47,6.9498201415576215
645,Gregshm,Black,81.8,80.3,3,3,6,29,8.96102672688794
646,DrBilg,White,90.0,60.8,3,5,5,67,7.797435475847171
647,Julianches,White,91.9,64.7,1,4,6,36,8.043631020876083
648,Julianches,Black,92.2,34.1,1,6,6,50,5.8395205282625735
649,matalosatodosss,White,87.0,77.5,3,3,2,33,8.803408430829505
650,hanu4444,Black,77.8,67.3,1,8,3,25,8.203657720797473
651,hanu4444,White,92.2,70.4,1,3,6,38,8.390470785361213
652,hanu4444,Black,87.8,43.0,1,1,5,23,6.557438524302
653,Kaluha33East,Black,93.8,32.4,1,1,5,34,5.692099788303083
654,jerryg1,White,86.2,69.4,1,8,8,60,8.330666239863412
655,ZentroFTW,Black,83.6,50.9,2,1,2,18,7.134423592694787
656,FerSosonko,White,81.7,88.2,4,11,12,57,9.391485505499118
657,Adi_BC,Black,89.0,50.1,3,6,2,39,7.078135347674555
658,llork,White,83.0,132.3,5,6,8,50,11.502173707608488
659,masterx07,White,73.9,177.3,6,8,4,35,13.315404612703288
660,sasaleite,Black,82.4,89.9,7,12,10,69,9.481561052906848
661,miguelmanchas777,Black,81.8,122.1,3,1,1,16,11.049886877249016
662,pandonfli,Black,93.2,19.4,0,1,0,9,4.404543109109048
663,mrdanyPro,White,91.9,74.7,2,2,6,42,8.64291617453276
664,GalaxyasMG,White,77.1,129.9,4,10,1,30,11.397368117245314
665,GalaxyasMG,Black,74.3,113.8,6,5,3,29,10.667708282475669
666,GalaxyasMG,White,88.5,47.9,0,4,6,37,6.920982589199311
667,thorondor14,Black,86.6,38.3,1,1,4,23,6.18869937870632
668,mezar0408,White,86.8,56.7,3,5,7,57,7.52994023880668
669,Ulan666,White,82.9,75.4,3,8,11,52,8.683317338436964
670,Roni_DH,White,83.1,87.5,3,8,13,44,9.354143466934854
671,Roni_DH,Black,72.1,150.2,2,3,1,12,12.255610959882823
672,Roni_DH,White,88.8,48.0,1,9,7,53,6.928203230275509
673,joseh1963,Black,87.5,65.8,2,3,5,29,8.1117199162693
674,joseh1963,White,78.5,107.1,8,4,4,47,10.348912986396204
675,Ernepe,Black,83.4,78.3,6,4,1,45,8.848728722251575
676,goreiro,Black,77.3,116.2,6,3,3,25,10.779610382569492
677,notbeginner,White,86.2,44.7,1,2,4,25,6.685805860178712
678,hendrawoo,White,86.1,42.5,0,2,3,20,6.519202405202649
679,notbeginner,Black,80.5,146.5,4,5,6,39,12.103718436910205
680,joseh1963,Black,90.2,44.8,4,4,4,64,6.6932802122726045
681,onegreypawn,Black,78.6,96.6,1,0,1,5,9.828529900244492
682,onegreypawn,White,77.8,87.8,2,10,4,36,9.370165420097983
683,zsg2024,White,81.4,138.5,4,5,3,22,11.76860229593982
684,HarisNBX,White,94.7,34.1,1,0,2,25,5.8395205282625735
685,dgreen,Black,83.4,72.9,4,3,4,32,8.538149682454625
686,Nonestbonum,Black,71.2,129.6,7,8,5,32,11.384199576606166
687,Ercan04,White,75.0,143.8,6,13,4,40,11.991663771137015
688,KASPARIN2020,White,83.5,68.7,1,4,3,29,8.28854631404084
689,KASPARIN2020,Black,84.5,67.3,5,5,10,58,8.203657720797473
690,KASPARIN2020,White,86.8,51.4,2,10,3,59,7.1693793315739685
691,xAlekhine777,Black,80.1,95.5,3,3,5,28,9.772410142846033
692,Josemar,White,81.1,110.3,7,6,11,63,10.502380682492898
693,grogrogo,White,89.7,65.8,1,5,8,34,8.1117199162693
694,DGG2706,Black,73.7,118.6,5,5,3,26,10.890362712049585
695,husati1961,White,81.4,55.6,0,4,4,18,7.4565407529228995
696,ryohma59,Black,89.3,33.6,1,0,8,45,5.796550698475776
697,orlandros,White,89.9,45.7,4,4,4,81,6.760177512462229
698,Jtport,Black,85.9,64.9,2,2,8,30,8.056053624449133
699,fokindanil1,White,88.5,59.7,1,4,2,23,7.726577508832744
700,orlandros,White,86.2,47.5,1,10,8,74,6.892024376045111
701,edwinkorir,Black,91.6,35.4,0,1,3,15,5.9497899122574065
702,yanydragon,Black,90.5,46.9,1,6,3,35,6.848357467305573
703,babadag_20,White,86.7,57.1,0,7,5,33,7.556454194925025
704,pipa1,Black,86.8,60.1,7,4,6,60,7.752418977325722
705,cotufa55,White,84.1,42.6,0,1,3,10,6.526867548832288
706,Bernardeta,Black,91.5,32.8,2,0,1,24,5.727128425310541
707,Bernardeta,White,81.5,69.7,1,6,7,36,8.34865258589672
708,Luciano_1991,White,88.7,54.7,1,7,4,38,7.395944834840239
709,wanita_malam,Black,72.6,151.6,8,2,3,30,12.312595177297109
710,wanita_malam,White,89.0,37.9,0,5,1,37,6.156297588648554
711,Skyblue4,Black,79.3,88.0,5,7,9,47,9.38083151964686
712,sherlock051,White,77.7,121.8,6,12,7,46,11.036303729057115
713,Rind_oe,Black,85.2,114.5,2,0,2,21,10.700467279516348
714,vishal007654,Black,84.6,80.6,4,1,7,43,8.977750274985375
715,mirzabruins,Black,85.2,71.3,5,12,15,70,8.44393273303382
716,VLAD57,White,79.2,85.4,2,9,7,42,9.241212041718338
717,BEKCOX777,Black,81.4,93.8,6,3,5,37,9.6850400102426
718,Jesusosorio50,White,86.3,88.3,4,3,5,34,9.396807968666806
719,E-sir,Black,94.3,24.6,1,5,10,79,4.959838707054898
720,Juvac62,White,86.1,63.6,2,7,4,45,7.974960814950754
721,Pablo13FC,Black,86.0,51.6,1,4,2,26,7.183313998427188
722,Minkarad,White,76.3,126.0,6,5,5,40,11.224972160321824
723,Yunus4723,Black,82.2,76.4,2,2,5,25,8.740709353364863
724,Glaukus2,White,75.3,134.6,8,5,6,40,11.60172400981854
725,gigaloz,White,79.4,63.4,0,5,1,19,7.962411694957753
726,Magnocarlo,Black,85.2,60.2,2,3,2,33,7.758865896508329
727,Sergio7890,Black,84.7,78.2,4,1,2,29,8.843076387773658
728,Helder35,White,88.4,70.9,1,14,6,54,8.420213774008355
729,OlegArhipov,White,74.7,151.8,7,8,9,46,12.320714265009151
730,Gleb722,Black,84.7,78.7,5,4,7,43,8.87130204648675
731,Marcus82,White,86.7,75.1,4,10,11,59,8.666025617317317
732,Karelin1984,White,79.0,102.0,3,8,6,37,10.099504938362077
733,Teknikero_Catbalogan,White,78.2,158.6,1,2,3,13,12.593649193144932
734,AmateurChamp,Black,81.8,71.7,2,5,4,27,8.46758525200662
735,francescotal,Black,92.3,27.1,0,0,3,18,5.205766033928148
736,semyon1980,Black,85.9,76.3,2,6,3,29,8.734987120768983
737,francescotal,White,75.9,103.3,6,5,7,43,10.16366075781753
738,AyamPitik,Black,85.7,88.0,2,6,6,36,9.38083151964686
739,Jithuschess,White,91.9,52.1,0,7,5,33,7.2180329730474355
740,Nagrandh,Black,97.4,11.8,0,3,0,58,3.4351128074635335
741,Andelomm,White,92.4,61.3,2,5,8,63,7.829431652425353
742,Chefbrits,White,89.6,51.4,2,8,8,61,7.1693793315739685
743,Chefbrits,Black,85.6,104.5,4,4,5,28,10.222524150130436
744,Chefbrits,White,80.0,84.9,1,8,5,28,9.214119599831555
745,Miguel_Angel100-S,Black,78.8,123.4,2,9,5,24,11.108555261599053
746,Iagovs92,White,82.3,94.0,3,4,5,29,9.695359714832659
747,Sancho_Burna,Black,90.5,59.8,1,3,6,30,7.733045971672482
748,AldoshenkoVN,Black,91.7,53.3,1,5,9,53,7.3006848993775915
749,Lesbrunes,White,83.5,56.5,0,5,7,35,7.516648189186454
750,pipirim,White,76.9,120.6,2,7,1,25,10.981803130633876
751,Lauren_McDaniels1998,Black,84.0,47.6,2,1,7,35,6.899275324264136
752,Mehdi1887,White,93.3,46.0,1,2,8,55,6.782329983125268
753,torredelvinagre,Black,91.4,45.1,2,2,4,32,6.715653356152326
754,Salehahmed333,White,85.1,140.0,4,5,1,33,11.832159566199232
755,Giljc,White,87.2,135.1,2,3,4,20,11.623252556836231
756,JhonWalter,White,75.0,117.2,4,10,5,41,10.825894882179487
757,Nikolay-UA,Black,76.4,105.8,7,7,10,55,10.285912696499032
758,UkolovSV,Black,75.6,100.4,2,3,8,21,10.019980039900279
759,chesszuka,White,77.1,133.0,5,3,0,21,11.532562594670797
760,PerezRo,Black,82.6,102.0,8,4,8,38,10.099504938362077
761,Sanbor,White,86.2,35.8,0,3,8,39,5.9833101206606365
762,Shidoshi-tanaka,White,83.3,99.6,3,8,4,30,9.979979959899719
763,Shidoshi-tanaka,Black,80.7,80.8,6,8,9,57,8.988882021697693
764,Shidoshi-tanaka,White,84.4,62.0,2,3,8,42,7.874007874011811
765,Shidoshi-tanaka,Black,90.7,49.1,3,1,4,33,7.00713921654194
766,pnr3287,White,75.8,109.4,2,9,2,28,10.459445491994305
767,LouveSolitaire34,White,85.2,46.3,1,5,8,44,6.8044103344816
768,LouveSolitaire34,Black,84.8,50.9,2,2,4,29,7.134423592694787
769,LouveSolitaire34,White,84.5,68.3,1,5,4,25,8.264381404557755
770,LouveSolitaire34,Black,83.5,76.1,4,6,4,36,8.723531395025756
771,LouveSolitaire34,White,87.7,37.7,1,2,5,42,6.1400325732035
772,stev1998,Black,90.8,64.0,2,1,7,25,8.0
773,Mshurtleff,Black,86.9,82.4,4,5,9,40,9.077444574328174
774,caiexeu,White,84.6,77.3,1,10,7,38,8.792041856133306
775,Arch90,White,84.7,107.3,2,14,5,42,10.358571330062848
776,TheVicGamer32,Black,89.3,41.2,0,2,4,18,6.418722614352485
777,chessmate23,White,77.7,140.2,6,8,4,43,11.840608092492547
778,JohnKala,Black,88.9,59.4,1,0,2,20,7.707139547199077
779,mongueletor,White,78.8,111.4,3,3,3,27,10.554619841567009
780,Franky008,Black,80.0,104.5,4,4,4,28,10.222524150130436
781,soCheeseburger,White,76.6,137.3,4,11,3,42,11.717508267545622
782,mustafa0xp84,White,80.6,71.7,1,5,9,35,8.46758525200662
783,jonikatro,Black,86.8,49.0,3,4,11,56,7.0
784,ridik123,Black,93.5,44.8,3,2,5,48,6.6932802122726045
785,Boa_di,White,84.5,54.4,0,4,7,32,7.37563556583431
787,LaweTako,Black,86.4,35.4,0,2,4,28,5.9497899122574065
788,CrasyMG,White,89.5,47.2,1,3,2,27,6.870225614927067
789,Bjjliytcn,Black,83.5,90.9,4,4,1,29,9.534149149242422
790,kadeykin,White,77.2,104.6,2,2,4,19,10.227414140436476
791,Trencaescacs,Black,82.3,65.3,1,7,3,31,8.080841540334768
792,StalIve,White,79.8,80.0,4,6,11,46,8.94427190999916
793,KyleVincent,White,77.2,78.5,1,7,5,26,8.860022573334675
794,criiiens,White,78.4,102.2,5,7,4,46,10.10940156488009
795,Rtrobin,Black,78.1,86.7,10,5,6,59,9.311283477587825
796,ilcalabresse,Black,82.3,79.3,4,4,9,31,8.905054744357274
797,Jake_Actuary,White,86.0,76.1,2,4,8,30,8.723531395025756
798,Sajib,Black,83.8,64.6,2,1,6,24,8.037412518964047
799,JARodriguez,White,79.5,81.9,3,14,6,58,9.049861877399014
800,Andrei1972,Black,90.1,56.6,1,0,2,17,7.523297149521611
801,PerelVl,White,85.9,75.8,1,6,4,29,8.706319543871567
802,cvomake,Black,82.4,100.6,3,2,5,26,10.029955134495866
803,GongsDerrick,Black,82.8,83.6,2,2,1,21,9.143303560529969
804,masbarno,White,86.4,55.0,1,4,2,23,7.416198487095663
805,Sicco,White,76.8,118.9,3,16,4,50,10.904127658827184
806,jongyoon4832,Black,76.5,130.3,10,8,4,39,11.414902540100814
807,MandyB,White,87.4,62.0,2,4,10,49,7.874007874011811
808,PUKKUP,Black,90.1,46.8,1,7,1,32,6.841052550594828
809,zuugzwaang,Black,83.6,68.9,3,3,4,27,8.300602387778854
810,ELMASTER500,White,87.9,59.7,1,11,8,51,7.726577508832744
811,sanchir0925,Black,91.6,79.7,2,2,5,37,8.927485648266257
812,j2vm,White,84.5,55.9,1,10,8,50,7.476630257007497
813,maksiiii,Black,80.3,91.0,5,1,4,27,9.539392014169456
814,jhonkonor,White,82.6,63.0,3,3,4,33,7.937253933193772
815,Mesias64,Black,85.4,40.6,0,3,7,27,6.371812928829597
816,siegfried-21,White,83.9,74.7,2,6,1,31,8.64291617453276
817,arnelblando,White,78.4,96.9,4,5,6,31,9.843779761859771
818,arnelblando,Black,86.5,42.3,1,3,2,24,6.5038450166036395
819,Alino1992,Black,80.8,85.5,10,7,7,63,9.246621004453464
820,nanogar,Black,78.5,107.9,6,7,6,34,10.387492478938313
821,nanogar,White,89.2,57.3,1,5,7,43,7.569676347110224
822,nanogar,Black,87.5,64.7,2,8,3,40,8.043631020876083
823,Drblunder4ever,White,87.5,47.4,0,5,7,33,6.884765791223402
824,Charles121CM,Black,84.6,47.3,1,11,10,65,6.877499545619759
825,Danireyes,White,83.5,93.8,2,5,8,31,9.6850400102426
826,Mhmodfrokh1968,Black,77.5,177.8,5,5,3,25,13.334166640626627
827,AnatolyKAS,Black,92.8,30.8,0,2,5,31,5.549774770204643
828,AgnewS03,White,91.0,25.9,0,1,2,16,5.089204259999788
829,UFPZ,White,86.5,96.7,3,7,4,33,9.833615815151617
830,naaml00sChessPlayer,Black,84.9,67.0,2,3,5,25,8.18535277187245
831,BatyrDS,White,92.0,39.5,0,6,1,41,6.284902544988268
832,RobertIp,Black,78.5,115.1,13,5,13,55,10.72846680565308
833,Rebecca_Sloane,White,81.9,94.8,5,8,11,48,9.736529155710468
834,capablank1502,Black,89.5,44.7,3,4,2,49,6.685805860178712
835,Bigan17,White,76.8,167.0,4,3,1,25,12.922847983320086
836,TOROVVWXXX,Black,92.8,35.4,2,6,6,58,5.9497899122574065
837,Kitsomo,White,79.5,82.5,3,6,2,35,9.082951062292475
838,nawfalouchahi,White,97.6,24.4,0,9,5,79,4.9396356140913875
839,mensin,Black,83.7,79.7,6,8,9,50,8.927485648266257
840,zalovich,White,87.5,57.5,1,3,7,26,7.582875444051551
841,blinkeedotcom,Black,87.3,46.0,1,0,6,29,6.782329983125268
842,frans_nico,Black,95.8,30.2,0,2,4,23,5.495452665613635
843,FurkanDURANAY,White,88.3,85.5,1,10,8,38,9.246621004453464
844,Pixelspargel,Black,76.3,137.5,8,5,4,47,11.726039399558575
845,akchaitanya2002,White,80.6,93.5,2,1,3,17,9.669539802906858
846,akchaitanya2002,Black,95.1,20.5,0,1,4,32,4.527692569068709
847,zouher,Black,84.4,67.3,2,2,5,34,8.203657720797473
848,r52shahreza,White,91.9,29.9,0,4,2,36,5.468089245796926
849,Duhless77,White,94.9,36.8,1,2,9,62,6.06630035524124
850,TR0NNx,Black,81.9,84.6,2,2,5,19,9.197825830053535
851,comandantecarlos,White,85.8,75.0,2,3,3,29,8.660254037844387
852,Sangala,White,83.8,93.3,2,4,4,24,9.6591925128346
853,PavelMoskow,Black,72.0,136.0,8,9,4,39,11.661903789690601
854,ari234,White,94.5,30.7,0,4,6,43,5.540758070878027
855,Duhless77,White,78.4,93.9,5,11,13,69,9.690201236300513
856,Tvix,Black,81.0,69.6,2,8,9,37,8.342661445845684
857,estaquirot,Black,92.1,23.0,0,3,3,28,4.795831523312719
858,PavloKhomenko,White,84.2,103.6,3,8,6,43,10.178408519999577
859,xbs_costa,Black,82.7,61.1,3,8,4,41,7.816648898345122
860,HarolDylp,Black,90.3,100.9,5,8,8,56,10.044899203078147
861,saga33,White,88.8,66.7,2,6,8,59,8.167006795638168
862,hydra2812,White,85.2,65.7,1,5,5,27,8.105553651663778
863,elilang,Black,89.0,35.1,1,1,2,20,5.92452529743945
864,elilang,White,88.7,42.5,2,1,3,35,6.519202405202649
865,elilang,Black,82.8,67.9,1,0,2,11,8.240145629781066
866,elilang,White,77.3,96.6,2,12,9,40,9.828529900244492
867,elilang,Black,94.1,18.7,0,0,1,7,4.324349662087931
868,elilang,White,84.9,112.0,3,2,3,26,10.583005244258363
869,elilang,Black,84.3,81.8,5,3,4,29,9.044335243676011
870,elilang,White,75.8,142.4,4,1,7,28,11.933147112141038
871,Silver_Bullet_10,Black,90.7,40.7,4,6,5,75,6.3796551630946325
872,JorgeBo,White,86.8,97.7,2,6,1,36,9.884331034521255
873,LebedevVitalii57,Black,80.9,63.5,1,4,7,24,7.968688725254614
874,boutorss,Black,81.4,124.7,3,3,9,29,11.166915420114902
875,queenhunger,White,76.6,122.2,4,3,2,26,11.054410884348384
876,queenhunger,Black,76.8,117.5,5,9,7,46,10.8397416943394
877,queenhunger,White,75.1,120.7,3,7,2,23,10.986355173577815
878,queenhunger,Black,86.7,37.9,1,5,6,49,6.156297588648554
879,queenhunger,White,83.2,115.7,8,6,7,60,10.756393447619885
880,queenhunger,Black,83.5,86.4,5,2,3,39,9.2951600308978
881,Lysoform,White,82.1,89.9,4,2,1,38,9.481561052906848
882,tanabig,Black,86.6,79.6,1,6,4,36,8.921883209278185
883,EthanPellegrino,White,93.1,42.2,2,2,5,41,6.496152707564686
884,Ilanlins2002,Black,89.2,32.1,1,2,1,31,5.665686189686118
885,chandru_smarty08,White,86.3,49.1,1,12,9,74,7.00713921654194
886,david-sv,Black,85.3,72.3,4,0,0,19,8.502940667792526
887,Amazing_Q,White,71.0,151.2,8,15,9,56,12.296340919151518
888,Cheggsmate,Black,82.3,64.6,4,7,4,41,8.037412518964047
889,Henrylasprilla1996,Black,86.4,61.9,4,8,12,74,7.867655305108378
890,tecnicar,Black,93.4,14.0,0,0,1,21,3.7416573867739413
891,mj24861793,White,84.0,96.4,1,2,2,21,9.818350166906862
892,pvollrath,Black,75.2,145.0,3,7,4,24,12.041594578792296
893,CantankerousDarkling,White,78.3,84.4,1,5,7,26,9.186947262284681
894,cxsimpson,Black,76.8,121.2,6,2,3,29,11.009087155618309
895,cxsimpson,White,90.4,22.1,0,1,3,27,4.701063709417263
896,losingplayer,White,87.3,43.1,0,3,4,28,6.565059024867941
897,theodorakis,White,69.0,171.9,7,9,2,30,13.111064030047295
898,Paul_12,Black,84.2,55.1,1,4,12,37,7.422937423958254
899,Dj_Gratitude,Black,76.2,113.1,7,6,4,35,10.634848376916334
900,jemo9977,White,84.8,85.4,2,6,9,34,9.241212041718338
901,Chess_Tarjei,Black,95.8,30.4,1,1,1,63,5.513619500836088
902,sundov100,White,79.0,91.0,4,4,7,31,9.539392014169456
903,saketsl,Black,79.1,93.6,6,18,4,60,9.674709297958259
904,kalmuratovnurlan,Black,89.2,73.5,4,3,9,39,8.573214099741124
905,williebob,White,93.9,13.8,0,0,2,21,3.714835124201342
906,CESAR10_2003,Black,89.2,33.6,0,2,4,18,5.796550698475776
907,Nemesis2022,White,83.8,67.0,2,10,6,49,8.18535277187245
908,chknTechOfficer,Black,91.9,68.2,2,0,5,29,8.258329128825032
909,chessmanuz2023,Black,77.7,80.3,4,4,7,37,8.96102672688794
910,Chaco01,White,87.0,45.6,1,1,2,20,6.752777206453653
911,rittickrr,White,87.9,49.2,0,7,7,44,7.014271166700073
912,Swonder333,White,90.6,41.4,0,5,5,29,6.434283176858165
913,Goldfix,White,79.4,67.4,1,6,7,32,8.209750300709517
914,Alexandr17061983,Black,90.6,38.6,1,1,3,29,6.212889826803627
915,DirtyBidello,White,78.2,93.5,4,12,13,53,9.669539802906858
916,pradhanguru1982,Black,86.5,69.9,1,2,1,19,8.360621986431392
